Date;Journal;Référence;Libellé;CompteDebit;CompteCredit;Montant;Devise
20250115;BQ;QTO-001;Apport en capital - versement initial;5500;100;18550.00;EUR
20250201;BQ;QTO-002;Abonnement Heroku - janvier;6120;5500;29.00;EUR
20250215;BQ;QTO-003;GitHub Team;6120;5500;21.00;EUR
20250301;BQ;QTO-004;Abonnement Heroku - février;6120;5500;29.00;EUR
20250310;BQ;QTO-005;Frais bancaires Qonto;6560;5500;9.00;EUR
20250315;BQ;QTO-006;Payout Stripe mars;5500;400;2850.00;EUR
20250301;VE;STR-001;Client Alpha - mars;400;700;1500.00;EUR
20250301;VE;STR-002;Client Beta - mars;400;700;1350.00;EUR
20250401;BQ;QTO-007;Abonnement Heroku - mars;6120;5500;29.00;EUR
20250415;BQ;QTO-008;Payout Stripe avril;5500;400;3200.00;EUR
20250401;VE;STR-003;Client Alpha - avril;400;700;1500.00;EUR
20250401;VE;STR-004;Client Gamma - avril;400;700;1700.00;EUR
20250501;BQ;QTO-009;Google Ads - avril;6160;5500;450.00;EUR
20250515;BQ;QTO-010;Bureau domicile - mai;6120;455;250.00;EUR
20250601;BQ;QTO-011;MacBook Pro;2430;5500;1800.00;EUR
20250615;BQ;QTO-012;Payout Stripe juin;5500;400;4100.00;EUR
20250601;VE;STR-005;Client Alpha - juin;400;700;1500.00;EUR
20250601;VE;STR-006;Client Delta - juin;400;700;2600.00;EUR
20250701;BQ;QTO-013;Commissions Stripe - T2;6561;5500;127.50;EUR
20250715;BQ;QTO-014;Abonnement Netflix;6120;5500;15.99;EUR
20250801;BQ;QTO-015;Remboursement frais - compte courant;455;5500;350.00;EUR
20250901;VE;STR-007;Client Epsilon - sept;400;700;800.00;EUR
20250915;BQ;QTO-016;Payout Stripe sept;5500;400;780.00;EUR
20251001;BQ;QTO-017;Abonnement Heroku - sept;6120;5500;29.00;EUR
20251015;BQ;QTO-018;Frais bancaires Qonto;6560;5500;9.00;EUR
20251101;BQ;QTO-019;Billet avion Liège-Amsterdam - RDV client;6130;5500;289.00;EUR
20251201;VE;STR-008;Client Alpha - déc abonnement annuel;400;700;12000.00;EUR
20251215;BQ;QTO-020;Payout Stripe déc;5500;400;11700.00;EUR
20251231;OD;OD-001;Amort. MacBook Pro 2025 (7/12 mois);6300;2439;350.00;EUR
